id,name,picture_url
1011456,Balder,http://i.annihil.us/u/prod/marvel/i/mg/b/f0/4ce5a7c2814ba.gif
1009168,Banshee,http://i.annihil.us/u/prod/marvel/i/mg/b/03/52740e4619f54.jpg
1009596,Banshee (Theresa Rourke),http://i.annihil.us/u/prod/marvel/i/mg/b/c0/4ce5a1a50e56b.jpg
1011778,Baron Mordo (Karl Mordo),http://i.annihil.us/u/prod/marvel/i/mg/f/90/4ce5a86dba8a8.jpg
1009169,Baron Strucker,http://i.annihil.us/u/prod/marvel/i/mg/8/80/4c0041fb5a90d.jpg
1009170,Baron Zemo (Heinrich Zemo),http://i.annihil.us/u/prod/marvel/i/mg/9/60/4c0041f84c9fe.jpg
1010906,Baron Zemo (Helmut Zemo),http://i.annihil.us/u/prod/marvel/i/mg/5/a0/4c0035890fb0a.jpg
1011137,Baroness S'Bak,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011354,Barracuda,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009550,Bart Rozum,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009171,Bastion,http://i.annihil.us/u/prod/marvel/i/mg/d/80/52695253215f4.jpg
1009172,Batroc the Leaper,http://i.annihil.us/u/prod/marvel/i/mg/c/80/4ce59eb840da5.gif
1009173,Battering Ram,http://i.annihil.us/u/prod/marvel/i/mg/f/60/4c002e0305708.gif
1011785,Battlestar,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009174,Beak,http://i.annihil.us/u/prod/marvel/i/mg/5/90/4c0040b8329ad.jpg
1009175,Beast,http://i.annihil.us/u/prod/marvel/i/mg/2/80/511a79a0451a3.jpg
1010909,Beast (Earth-311),http://i.annihil.us/u/prod/marvel/i/mg/5/a0/4c0035813dc4c.jpg
1010908,Beast (Ultimate),http://i.annihil.us/u/prod/marvel/i/mg/5/d0/53176a9be110c.jpg
1009176,Becatron,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009177,Bedlam,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009178,Beef,http://i.annihil.us/u/prod/marvel/i/mg/f/60/4c002e0305708.gif
1009179,Beetle (Abner Jenkins),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
