iter	Passed	Remaining
0	537	537114
1	795	397132
2	1003	333470
3	1204	299885
4	1415	281650
5	1616	267811
6	1890	268224
7	2086	258672
8	2284	251536
9	2500	247549
10	2733	245797
11	2975	244999
12	3192	242374
13	3392	238904
14	3591	235854
15	3789	233059
16	3988	230605
17	4230	230799
18	4488	231749
19	4724	231487
20	4977	232060
21	5216	231913
22	5418	230179
23	5615	228348
24	5811	226636
25	6005	224972
26	6200	223457
27	6395	222027
28	6593	220765
29	6788	219484
30	6982	218248
31	7180	217199
32	7371	216018
33	7571	215107
34	7765	214112
35	7958	213101
36	8180	212904
37	8388	212353
38	8606	212060
39	8819	211660
40	9018	210933
41	9217	210243
42	9420	209654
43	9627	209187
44	9850	209049
45	10064	208727
46	10271	208267
47	10475	207757
48	10739	208424
49	10941	207884
50	11158	207643
51	11361	207135
52	11557	206507
53	11759	206008
54	11966	205598
55	12163	205034
56	12367	204599
57	12575	204240
58	12785	203921
59	13003	203724
60	13207	203309
61	13422	203067
62	13633	202775
63	13849	202549
64	14048	202082
65	14275	202018
66	14485	201716
67	14689	201333
68	14895	200975
69	15158	201393
70	15402	201531
71	15654	201766
72	15907	202003
73	16149	202082
74	16364	201827
75	16626	202138
76	16887	202432
77	17098	202107
78	17305	201745
79	17510	201374
80	17719	201044
81	17923	200656
82	18126	200265
83	18324	199820
84	18527	199447
85	18740	199174
86	19021	199614
87	19230	199293
88	19453	199125
89	19662	198805
90	19885	198632
91	20091	198293
92	20298	197960
93	20506	197644
94	20722	197405
95	20974	197509
96	21217	197519
97	21426	197208
98	21631	196867
99	21835	196515
100	22041	196188
101	22278	196133
102	22507	196011
103	22712	195673
104	22952	195641
105	23147	195225
106	23343	194818
107	23540	194427
108	23735	194022
109	23935	193658
110	24127	193235
111	24315	192787
112	24501	192326
113	24694	191927
114	24886	191517
115	25077	191105
116	25266	190684
117	25458	190289
118	25651	189906
119	25843	189520
120	26041	189175
121	26236	188818
122	26429	188446
123	26619	188053
124	26812	187689
125	27003	187311
126	27199	186971
127	27404	186690
128	27615	186456
129	27818	186171
130	28017	185857
131	28219	185563
132	28433	185354
133	28668	185277
134	28940	185436
135	29136	185103
136	29351	184893
137	29560	184645
138	29769	184397
139	29979	184161
140	30181	183874
141	30389	183618
142	30587	183309
